"order_id","courier_id","courier_age_years","courier_rating_1_to_5","restaurant_latitude_deg","restaurant_longitude_deg","customer_latitude_deg","customer_longitude_deg","order_type","vehicle_type","temperature_celsius","humidity_percent","precipitation_mm","weather_description","traffic_level","distance_km","delivery_time_min","order_type_factor","vehicle_type_factor","traffic_level_cleaned","traffic_level_factor","weather_description_cleaned","weather_category","long_delivery_flag","average_speed_kmph"
"7A10","HYDRES20DEL01",30,4.7,17.483216,78.552111,17.523216,78.592111,"Drinks ","scooter ",21.25,65,0,"broken clouds","Moderate",8.95,36.35,"Drinks","scooter","moderate","moderate","broken clouds","Clear",0,14.7730398899587
"6934","HYDRES15DEL03",28,4,17.45971,78.368855,17.51971,78.428855,"Buffet ","motorcycle ",21.18,65,0,"broken clouds","High",13.79,37.58333333,"Buffet","motorcycle","high","high","broken clouds","Clear",0,22.0150776072741
"116A","JAPRES13DEL02",29,4.6,26.846156,75.8023,26.976156,75.9323,"Meal ","scooter ",19.99,46,0,"clear sky","High",24.02,44.6,"Meal","scooter","high","high","clear sky","Clear",1,32.3139013452915
"8730","JAPRES09DEL03",29,4.8,26.911378,75.789034,27.001378,75.879034,"Meal ","scooter ",19.94,46,0,"clear sky","High",18.56,37.01666667,"Meal","scooter","high","high","clear sky","Clear",0,30.0837460576242
"334F","HYDRES06DEL02",25,4.9,17.455894,78.375467,17.585894,78.505467,"Buffet ","scooter ",21.02,65,0,"broken clouds","Very High",33.29,61.18333333,"Buffet","scooter","very high","very high","broken clouds","Clear",1,32.6461454662297
"A67B","MYSRES08DEL01",24,4.7,12.297954,76.665169,12.307954,76.675169,"Drinks ","scooter ",18.05,81,0,"broken clouds","Very Low",3.09,16.71666667,"Drinks","scooter","very low","very low","broken clouds","Clear",0,11.0907278143388
"7A38","CHENRES14DEL03",33,4.7,13.026279,80.174568,13.116279,80.264568,"Meal ","motorcycle ",26.35,88,0,"mist","High",27.25,46.16666667,"Meal","motorcycle","high","high","mist","Rainy",1,35.4151624523166
"D547","LUDHRES03DEL03",39,4.8,30.88722,75.804893,30.94722,75.864893,"Meal ","motorcycle ",18.91,57,0,"clear sky","Moderate",12.95,22.35,"Meal","motorcycle","moderate","moderate","clear sky","Clear",0,34.7651006711409
"18A5","JAPRES11DEL03",21,4.5,26.90294,75.793007,26.99294,75.883007,"Buffet ","scooter ",19.96,46,0,"clear sky","High",16.67,38.03333333,"Buffet","scooter","high","high","clear sky","Clear",0,26.2979842266694
"5703","SURRES20DEL02",24,4.6,21.15276,72.778059,21.17276,72.798059,"Snack ","scooter ",23.72,44,0,"clear sky","Low",3.84,15.43333333,"Snack","scooter","low","low","clear sky","Clear",0,14.9287257051682
"837","SURRES12DEL03",29,4.6,21.183434,72.814492,21.273434,72.904492,"Meal ","motorcycle ",22.84,43,0,"clear sky","High",18.14,33.48333333,"Meal","motorcycle","high","high","clear sky","Clear",0,32.5057242441519
"8139","PUNERES20DEL01",35,4.7,18.592718,73.773572,18.662718,73.843572,"Meal ","motorcycle ",19.01,65,0,"clear sky","Moderate",12.79,27.01666667,"Meal","motorcycle","moderate","moderate","clear sky","Clear",0,28.4046884604066
"2553","JAPRES16DEL02",39,4.6,26.849596,75.800512,26.979596,75.930512,"Meal ","scooter ",19.99,46,0,"clear sky","High",22.87,43.21666667,"Meal","scooter","high","high","clear sky","Clear",1,31.7516390257037
"71A1","BANGRES18DEL01",22,4.6,12.913041,77.683237,12.953041,77.723237,"Buffet ","motorcycle ",19.88,93,0,"mist","High",11.61,36.58333333,"Buffet","motorcycle","high","high","mist","Rainy",0,19.0414578605049
"4586","CHENRES14DEL02",33,4.3,13.026279,80.174568,13.076279,80.224568,"Snack ","electric_scooter ",26.35,88,0,"mist","High",10.62,38.1,"Snack","electric_scooter","high","high","mist","Rainy",0,16.7244094488189
"2A92","SURRES13DEL01",29,4.4,21.170096,72.789122,21.210096,72.829122,"Buffet ","motorcycle ",23.23,43,0,"clear sky","Low",8.4,21.91666667,"Buffet","motorcycle","low","low","clear sky","Clear",0,22.9961977151337
"6F7","PUNERES11DEL02",29,4.6,18.533811,73.899315,18.663811,74.029315,"Meal ","motorcycle ",19.53,65,0,"clear sky","Very High",30.54,55.18333333,"Meal","motorcycle","very high","very high","clear sky","Clear",1,33.2056780448931
"43BF","COIMBRES06DEL01",22,4.7,11.021278,76.995017,11.061278,77.035017,"Meal ","motorcycle ",24.96,73,0,"mist","Low",8.86,21.13333333,"Meal","motorcycle","low","low","mist","Rainy",0,25.1545741364597
"97C6","MYSRES17DEL01",22,4.7,12.326356,76.619103,12.366356,76.659103,"Meal ","electric_scooter ",18.33,81,0,"scattered clouds","Moderate",9.59,24.55,"Meal","electric_scooter","moderate","moderate","scattered clouds","Clear",0,23.4378818737271
"CEE8","AGRRES12DEL02",24,4.8,27.165108,78.015053,27.295108,78.145053,"Drinks ","motorcycle ",21.4,53,0,"clear sky","Very High",39.69,62.8,"Drinks","motorcycle","very high","very high","clear sky","Clear",1,37.9203821656051
"D333","DEHRES13DEL03",21,4.4,30.366322,78.070453,30.456322,78.160453,"Buffet ","motorcycle ",8.93,80,0,"clear sky","Very High",29.71,75.16666667,"Buffet","motorcycle","very high","very high","clear sky","Clear",1,23.7152993337599
"DC1","SURRES010DEL02",29,4.6,21.17106,72.789292,21.30106,72.919292,"Buffet ","motorcycle ",22.81,43,0,"clear sky","High",23.65,44.71666667,"Buffet","motorcycle","high","high","clear sky","Clear",1,31.7331345485104
"9D78","COIMBRES20DEL03",20,4.7,10.994136,76.963303,11.084136,77.053303,"Snack ","scooter ",24.97,73,0,"mist","High",17.5,43.91666667,"Snack","scooter","high","high","mist","Rainy",1,23.9089184042574
"7971","SURRES11DEL03",35,4.9,21.157735,72.768778,21.247735,72.858778,"Drinks ","motorcycle ",22.92,43,0,"clear sky","High",16.08,41.43333333,"Drinks","motorcycle","high","high","clear sky","Clear",1,23.2855993582692
"A0A1","MYSRES04DEL02",33,4.1,12.3085,76.665808,12.3285,76.685808,"Meal ","motorcycle ",18.03,81,0,"broken clouds","Low",4.42,13.93333333,"Meal","motorcycle","low","low","broken clouds","Clear",0,19.03349282752
"BB53","MYSRES05DEL01",36,4.6,12.323978,76.627961,12.363978,76.667961,"Meal ","motorcycle ",18.32,81,0,"broken clouds","Moderate",9.71,27.4,"Meal","motorcycle","moderate","moderate","broken clouds","Clear",0,21.2627737226277
"6219","RANCHIRES010DEL02",31,5,23.354422,85.3329,23.484422,85.4629,"Meal ","motorcycle ",17.6,69,0,"clear sky","High",20.31,37.13333333,"Meal","motorcycle","high","high","clear sky","Clear",0,32.8168761250284
"92B3","CHENRES14DEL02",37,4.7,13.026279,80.174568,13.076279,80.224568,"Snack ","motorcycle ",26.35,88,0,"mist","High",10.62,38.1,"Snack","motorcycle","high","high","mist","Rainy",0,16.7244094488189
"5DE1","SURRES04DEL03",36,4.9,21.173493,72.801953,21.233493,72.861953,"Meal ","scooter ",23.02,43,0,"clear sky","Moderate",12.62,25.5,"Meal","scooter","moderate","moderate","clear sky","Clear",0,29.6941176470588
"94AA","VADRES010DEL02",27,4.6,22.310329,73.169083,22.390329,73.249083,"Drinks ","motorcycle ",22.63,43,0,"clear sky","Moderate",16.24,39.78333333,"Drinks","motorcycle","moderate","moderate","clear sky","Clear",0,24.4926686237531
"F5C","MYSRES04DEL02",30,5,12.3085,76.665808,12.3285,76.685808,"Drinks ","scooter ",18.03,81,0,"broken clouds","Low",4.42,22.93333333,"Drinks","scooter","low","low","broken clouds","Clear",0,11.5639534900529
"21AC","CHENRES15DEL01",21,4.6,13.026286,80.275235,13.136286,80.385235,"Buffet ","motorcycle ",26.45,87,0,"scattered clouds","Very High",22.56,62.25,"Buffet","motorcycle","very high","very high","scattered clouds","Clear",1,21.744578313253
"A6ED","COIMBRES01DEL03",23,4.9,11.016298,76.972076,11.106298,77.062076,"Meal ","motorcycle ",25.1,73,0,"mist","High",18.18,40.2,"Meal","motorcycle","high","high","mist","Rainy",1,27.134328358209
"514D","JAPRES08DEL01",29,4.2,26.910262,75.783013,26.920262,75.793013,"Buffet ","motorcycle ",19.62,68,0,"haze","Very Low",3.21,13.16666667,"Buffet","motorcycle","very low","very low","haze","Poor Visibility",0,14.6278480975626
"8D85","RANCHIRES16DEL02",38,4.6,23.371292,85.327872,23.501292,85.457872,"Snack ","scooter ",17.73,67,0,"clear sky","Very High",26.18,50.95,"Snack","scooter","very high","very high","clear sky","Clear",1,30.8302257114818
"B868","COIMBRES20DEL03",29,4.5,10.994136,76.963303,11.054136,77.023303,"Drinks ","motorcycle ",24.86,73,0,"mist","Moderate",11.62,40.08333333,"Drinks","motorcycle","moderate","moderate","mist","Rainy",1,17.3937629952095
"720C","INDORES05DEL02",25,4.1,22.727021,75.884167,22.747021,75.904167,"Drinks ","motorcycle ",17.08,72,0,"haze","Low",4.15,24.31666667,"Drinks","motorcycle","low","low","haze","Poor Visibility",0,10.2398903344428
"3.00E+46","SURRES09DEL02",39,3.5,21.175975,72.795503,21.255975,72.875503,"Drinks ","motorcycle ",22.88,43,0,"clear sky","High",15.2,41.6,"Drinks","motorcycle","high","high","clear sky","Clear",1,21.9230769230769
"4.00E+40","INDORES09DEL03",30,4.8,22.725835,75.887648,22.755835,75.917648,"Buffet ","scooter ",17.08,72,0,"haze","Low",6.09,21.41666667,"Buffet","scooter","low","low","haze","Poor Visibility",0,17.0614785965663
"4A62","HYDRES13DEL01",39,5,17.431477,78.40035,17.441477,78.41035,"Drinks ","scooter ",21.14,65,0,"broken clouds","Low",3.17,21.58333333,"Drinks","scooter","low","low","broken clouds","Clear",0,8.81235521371619
"2CA8","JAPRES18DEL01",25,4.9,26.913987,75.752891,26.953987,75.792891,"Buffet ","motorcycle ",19.56,68,0,"haze","Moderate",10.21,26.25,"Buffet","motorcycle","moderate","moderate","haze","Poor Visibility",0,23.3371428571429
"1D26","COIMBRES03DEL02",23,4.9,11.025083,77.015393,11.075083,77.065393,"Snack ","scooter ",25,73,0,"mist","Moderate",11.49,32.81666667,"Snack","scooter","moderate","moderate","mist","Rainy",0,21.0076180781099
"8CF","HYDRES02DEL01",31,4.7,17.41233,78.449654,17.48233,78.519654,"Drinks ","motorcycle ",21.27,64,0,"broken clouds","High",14.01,42.85,"Drinks","motorcycle","high","high","broken clouds","Clear",1,19.6172695449242
"843A","CHENRES11DEL03",32,4.7,13.064181,80.236442,13.124181,80.296442,"Meal ","electric_scooter ",26.39,88,0,"broken clouds","High",12.93,33.13333333,"Meal","electric_scooter","high","high","broken clouds","Clear",0,23.4144869238848
"C44D","AURGRES15DEL02",32,4.5,19.878028,75.317475,19.928028,75.367475,"Buffet ","motorcycle ",17.77,82,0,"mist","Moderate",8.95,30,"Buffet","motorcycle","moderate","moderate","mist","Rainy",0,17.9
"4D1D","BANGRES16DEL02",29,4.8,13.029198,77.570997,13.109198,77.650997,"Meal ","scooter ",18.84,93,0,"fog","High",17.58,37.85,"Meal","scooter","high","high","fog","Poor Visibility",0,27.8678996036988
"9C64","HYDRES02DEL02",34,5,17.41233,78.449654,17.46233,78.499654,"Drinks ","motorcycle ",21.4,64,0,"broken clouds","Moderate",10.22,32.58333333,"Drinks","motorcycle","moderate","moderate","broken clouds","Clear",0,18.8194373420787
"CD0","INDORES010DEL03",15,1,22.75004,75.902847,22.81004,75.962847,"Snack ","scooter ",17.19,72,0,"haze","Moderate",13.4,35.23333333,"Snack","scooter","moderate","moderate","haze","Poor Visibility",0,22.8192999075515
"39A2","JAPRES19DEL02",36,4.6,26.913726,75.75282,26.993726,75.83282,"Drinks ","motorcycle ",18.74,64,0,"haze","Very High",20.8,59.9,"Drinks","motorcycle","very high","very high","haze","Poor Visibility",1,20.8347245409015
"AB3A","MYSRES01DEL03",37,4.9,12.311072,76.654878,12.341072,76.684878,"Drinks ","motorcycle ",18.22,81,0,"broken clouds","Low",8.15,29.11666667,"Drinks","motorcycle","low","low","broken clouds","Clear",0,16.794504863561
"B47F","JAPRES12DEL03",22,4.7,26.902908,75.792934,27.042908,75.932934,"Buffet ","scooter ",19.71,47,0,"clear sky","Very High",29.44,49.86666667,"Buffet","scooter","very high","very high","clear sky","Clear",1,35.4224598906803
"B040","BANGRES11DEL02",27,4.7,12.934365,77.616155,12.984365,77.666155,"Buffet ","scooter ",19.75,92,0,"mist","Moderate",11.94,35.75,"Buffet","scooter","moderate","moderate","mist","Rainy",0,20.0391608391608
"D677","DEHRES09DEL03",27,4.3,30.332735,78.054222,30.392735,78.114222,"Drinks ","motorcycle ",14.39,77,0,"clear sky","Moderate",10.16,34.5,"Drinks","motorcycle","moderate","moderate","clear sky","Clear",0,17.6695652173913
"6F17","CHENRES02DEL03",26,4.5,13.086438,80.220672,13.146439,80.280672,"Snack ","scooter ",26.31,88,0,"scattered clouds","High",13.96,49.16666667,"Snack","scooter","high","high","scattered clouds","Clear",1,17.0359322022349
"78D2","SURRES18DEL02",23,4.5,21.149834,72.778666,21.229834,72.858666,"Buffet ","scooter ",23.02,43,0,"clear sky","High",16.11,34.73333333,"Buffet","scooter","high","high","clear sky","Clear",0,27.8291746667782
"519B","MUMRES06DEL01",24,4.6,19.055831,72.833984,19.095831,72.873984,"Drinks ","motorcycle ",26.98,44,0,"smoke","Moderate",11.75,44.03333333,"Drinks","motorcycle","moderate","moderate","smoke","Poor Visibility",1,16.0105980330061
"2.30E+04","MUMRES01DEL01",31,4.1,19.12663,72.829976,19.23663,72.939976,"Snack ","electric_scooter ",26.36,44,0,"smoke","Very High",30.61,82.71666667,"Snack","electric_scooter","very high","very high","smoke","Poor Visibility",1,22.2035059430907
"54C1","PUNERES14DEL03",28,4.6,18.516216,73.842527,18.546216,73.872527,"Buffet ","motorcycle ",19.31,64,0,"clear sky","Low",6.03,19.88333333,"Buffet","motorcycle","low","low","clear sky","Clear",0,18.1961441774009
"9FF0","SURRES010DEL03",27,4.9,21.17106,72.789292,21.23106,72.849292,"Buffet ","motorcycle ",23.01,43,0,"clear sky","Moderate",11.64,29.26666667,"Buffet","motorcycle","moderate","moderate","clear sky","Clear",0,23.863325737601
"81A8","MYSRES16DEL03",31,4.7,12.316967,76.603067,12.376967,76.663067,"Buffet ","scooter ",18.29,81,0,"scattered clouds","Moderate",14.88,32.75,"Buffet","scooter","moderate","moderate","scattered clouds","Clear",0,27.2610687022901
"D5AF","KOCRES19DEL02",27,5,9.960846,76.293936,10.010846,76.343936,"Meal ","motorcycle ",23.96,88,0,"mist","Moderate",11.82,28.33333333,"Meal","motorcycle","moderate","moderate","mist","Rainy",0,25.0305882382389
"318C","SURRES05DEL01",28,4.1,21.175104,72.804342,21.285104,72.914342,"Drinks ","scooter ",22.84,43,0,"clear sky","High",21.28,49.08333333,"Drinks","scooter","high","high","clear sky","Clear",1,26.012903227573
"127A","CHENRES12DEL02",28,4.7,12.972793,80.249982,13.102793,80.379982,"Drinks ","electric_scooter ",26.48,87,0,"scattered clouds","Very High",30.52,84.36666667,"Drinks","electric_scooter","very high","very high","scattered clouds","Clear",1,21.7052548391266
"2F0D","VADRES06DEL02",37,4.6,22.31279,73.170283,22.33279,73.190283,"Meal ","electric_scooter ",22.88,42,0,"clear sky","Low",4.31,11,"Meal","electric_scooter","low","low","clear sky","Clear",0,23.5090909090909
"9CB7","PUNERES15DEL03",34,4.8,18.636215,73.751081,18.666215,73.781081,"Snack ","electric_scooter ",18.94,65,0,"few clouds","Low",7.78,22.93333333,"Snack","electric_scooter","low","low","few clouds","Clear",0,20.3546511657492
"1308","HYDRES12DEL02",27,4.9,17.429585,78.392621,17.479585,78.442621,"Buffet ","scooter ",21.32,66,0,"broken clouds","High",13.04,34.98333333,"Buffet","scooter","high","high","broken clouds","Clear",0,22.3649356857899
"8EF8","INDORES20DEL02",28,4.8,22.732225,75.874765,22.752225,75.894765,"Drinks ","electric_scooter ",17.09,72,0,"haze","Very Low",3.45,20.58333333,"Drinks","electric_scooter","very low","very low","haze","Poor Visibility",0,10.0566801635719
"3136","SURRES03DEL01",34,4.2,21.186884,72.793616,21.196884,72.803616,"Meal ","motorcycle ",23.46,43,0,"clear sky","Very Low",1.75,6.3,"Meal","motorcycle","very low","very low","clear sky","Clear",0,16.6666666666667
"6ACF","RANCHIRES20DEL01",23,4.7,23.39925,85.390464,23.46925,85.460464,"Buffet ","motorcycle ",17.9,67,0,"clear sky","Low",10.95,17.66666667,"Buffet","motorcycle","low","low","clear sky","Clear",0,37.1886792382663
"2869","BANGRES13DEL01",21,4.7,12.935662,77.61413,13.005662,77.68413,"Meal ","motorcycle ",19.54,93,0,"mist","High",17.54,34.25,"Meal","motorcycle","high","high","mist","Rainy",0,30.7270072992701
"884A","BANGRES04DEL03",21,4.8,12.98041,77.640489,13.07041,77.730489,"Drinks ","motorcycle ",19.22,93,0,"fog","High",18.4,46.63333333,"Drinks","motorcycle","high","high","fog","Poor Visibility",1,23.6740528966172
"A4BC","PUNERES19DEL01",27,4.5,18.563934,73.915367,18.673935,74.025367,"Drinks ","scooter ",19.47,65,0,"clear sky","Very High",25.16,61.26666667,"Drinks","scooter","very high","very high","clear sky","Clear",1,24.6398258963743
"5D46","MYSRES08DEL01",20,4.7,12.297954,76.665169,12.407954,76.775169,"Snack ","motorcycle ",18.47,82,0,"broken clouds","High",27.11,45.3,"Snack","motorcycle","high","high","broken clouds","Clear",1,35.9072847682119
"AF7F","MYSRES02DEL02",26,4.6,12.304569,76.643622,12.354569,76.693622,"Meal ","scooter ",17.97,77,0,"scattered clouds","High",12.84,34.83333333,"Meal","scooter","high","high","scattered clouds","Clear",0,22.1167464135997
"4470","SURRES13DEL01",25,4.9,21.170096,72.789122,21.180096,72.799122,"Meal ","scooter ",23.6,44,0,"clear sky","Very Low",2.69,6.116666667,"Meal","scooter","very low","very low","clear sky","Clear",0,26.3869209794885
"6B42","VADRES01DEL01",22,4.8,22.307898,73.167788,22.417898,73.277788,"Buffet ","motorcycle ",22.47,44,0,"clear sky","High",20.94,40.53333333,"Buffet","motorcycle","high","high","clear sky","Clear",1,30.9967105288649
"E147","LUDHRES13DEL01",39,4.7,30.893234,75.82172,30.933234,75.86172,"Buffet ","scooter ",18.93,57,0,"clear sky","Moderate",8.92,23.28333333,"Buffet","scooter","moderate","moderate","clear sky","Clear",0,22.9863994306351
"4734","BANGRES19DEL02",32,4,12.914264,77.6784,12.964264,77.7284,"Meal ","motorcycle ",19.76,93,0,"mist","High",12.95,39.43333333,"Meal","motorcycle","high","high","mist","Rainy",0,19.7041420134999
"A0FA","INDORES03DEL02",30,4.9,22.751857,75.866699,22.881857,75.996699,"Buffet ","scooter ",17.3,53,0,"clear sky","Very High",26.88,49.73333333,"Buffet","scooter","very high","very high","clear sky","Clear",1,32.428954425766
"D9FA","LUDHRES03DEL01",30,4.3,30.88722,75.804893,30.95722,75.874893,"Buffet ","scooter ",18.86,57,0,"clear sky","Moderate",14.5,31.21666667,"Buffet","scooter","moderate","moderate","clear sky","Clear",0,27.8697277065809
"94DA","HYDRES11DEL03",38,4.8,17.430448,78.418213,17.520448,78.508213,"Meal ","scooter ",21.16,65,0,"broken clouds","High",20.31,46.11666667,"Meal","scooter","high","high","broken clouds","Clear",1,26.4242862286647
"B417","MUMRES09DEL02",36,4.6,18.994049,72.825203,19.124049,72.955203,"Snack ","scooter ",27.05,44,0,"smoke","Very High",29.68,72,"Snack","scooter","very high","very high","smoke","Poor Visibility",1,24.7333333333333
"D1F5","KNPRES05DEL02",29,4.9,26.479108,80.315042,26.559108,80.395042,"Snack ","scooter ",21.83,54,0,"clear sky","High",17.68,45.45,"Snack","scooter","high","high","clear sky","Clear",1,23.3399339933993
"48D7","CHENRES16DEL02",38,4.6,13.049645,80.242268,13.099645,80.292268,"Snack ","scooter ",26.37,88,0,"mist","Low",8.93,26.8,"Snack","scooter","low","low","mist","Rainy",0,19.9925373134328
"8172","CHENRES08DEL02",30,4.5,13.022394,80.242439,13.042394,80.262439,"Buffet ","motorcycle ",26.47,88,0,"mist","Low",3.77,16.06666667,"Buffet","motorcycle","low","low","mist","Rainy",0,14.0788381713529
"86EC","PUNERES06DEL01",39,5,18.546258,73.904337,18.586258,73.944337,"Buffet ","motorcycle ",19.17,65,0,"clear sky","Moderate",10.07,27.21666667,"Buffet","motorcycle","moderate","moderate","clear sky","Clear",0,22.1996325753583
"67F4","HYDRES06DEL01",33,4.6,17.455894,78.375467,17.465894,78.385467,"Snack ","electric_scooter ",21.27,65,0,"broken clouds","Very Low",2.53,12.38333333,"Snack","electric_scooter","very low","very low","broken clouds","Clear",0,12.2584118471759
"C635","KOLRES04DEL02",31,4.8,22.538731,88.364878,22.588731,88.414878,"Drinks ","scooter ",23,83,0,"haze","Moderate",11.3,31.23333333,"Drinks","scooter","moderate","moderate","haze","Poor Visibility",0,21.7075773769165
"8728","PUNERES16DEL03",37,4.7,18.536718,73.830327,18.566719,73.860327,"Snack ","motorcycle ",19.22,65,0,"clear sky","Moderate",7.87,25.31666667,"Snack","motorcycle","moderate","moderate","clear sky","Clear",0,18.6517445663395
"2596","CHENRES05DEL02",26,4.6,13.058616,80.264151,13.078616,80.284151,"Meal ","motorcycle ",26.44,88,0,"mist","Low",5.09,19.06666667,"Meal","motorcycle","low","low","mist","Rainy",0,16.0174825146823
"91A","SURRES17DEL03",15,1,21.149569,72.772697,21.209569,72.832697,"Buffet ","bicycle ",23.23,43,0,"clear sky","Moderate",12.53,25.36666667,"Buffet","bicycle","moderate","moderate","clear sky","Clear",0,29.637319312794
"1317","CHENRES09DEL02",32,4.6,13.044694,80.26147,13.174694,80.39147,"Snack ","motorcycle ",26.41,73,0,"scattered clouds","Very High",28.49,69.23333333,"Snack","motorcycle","very high","very high","scattered clouds","Clear",1,24.6904188745638
"2910","JAPRES16DEL03",36,3.6,26.849596,75.800512,26.939596,75.890512,"Drinks ","scooter ",20.01,68,0,"haze","High",20.19,50.13333333,"Drinks","scooter","high","high","haze","Poor Visibility",1,24.1635638313939
"8E3F","SURRES05DEL02",30,4.7,21.175104,72.804342,21.195104,72.824342,"Drinks ","scooter ",23.39,43,0,"clear sky","Low",4.21,23.46666667,"Drinks","scooter","low","low","clear sky","Clear",0,10.7642045439255
"2161","COIMBRES01DEL02",31,4.7,11.016298,76.972076,11.036298,76.992076,"Buffet ","motorcycle ",24.86,73,0,"mist","Low",3.77,19.41666667,"Buffet","motorcycle","low","low","mist","Rainy",0,11.6497854057254
"C530","AURGRES12DEL03",34,4.9,19.879631,75.323403,19.969631,75.413403,"Buffet ","motorcycle ",17.15,82,0,"mist","Very High",23.72,62.25,"Buffet","motorcycle","very high","very high","mist","Rainy",1,22.8626506024096
"76FC","CHENRES17DEL01",20,4.6,13.045479,80.23311,13.155479,80.34311,"Drinks ","scooter ",26.4,87,0,"scattered clouds","Very High",24.59,72.03333333,"Drinks","scooter","very high","very high","scattered clouds","Clear",1,20.4821841749413
"BCEF","INDORES08DEL03",38,4.3,22.725748,75.898497,22.815748,75.988497,"Buffet ","scooter ",17.22,52,0,"clear sky","High",22.38,40.1,"Buffet","scooter","high","high","clear sky","Clear",1,33.4862842892768
"6D7","COIMBRES010DEL03",27,4.9,11.003008,76.97544,11.063009,77.03544,"Snack ","motorcycle ",24.96,73,0,"mist","Moderate",11.58,30.01666667,"Snack","motorcycle","moderate","moderate","mist","Rainy",0,23.147140474942
"C5F5","KNPRES09DEL03",25,4.9,26.473698,80.352677,26.533698,80.412677,"Buffet ","motorcycle ",21.79,54,0,"clear sky","Moderate",14.27,31.18333333,"Buffet","motorcycle","moderate","moderate","clear sky","Clear",0,27.4569748826785
"8555","MUMRES05DEL01",29,5,18.927584,72.832585,18.937584,72.842585,"Meal ","motorcycle ",27.01,44,0,"smoke","Low",4.77,21.91666667,"Meal","motorcycle","low","low","smoke","Poor Visibility",0,13.0585551310938
"8625","JAPRES05DEL03",34,4.5,26.905287,75.794592,27.045287,75.934592,"Drinks ","motorcycle ",19.91,47,0,"clear sky","Very High",29.78,57.28333333,"Drinks","motorcycle","very high","very high","clear sky","Clear",1,31.1923188845617
"8A2C","HYDRES13DEL03",28,4,17.431477,78.40035,17.521477,78.49035,"Snack ","scooter ",21.19,64,0,"overcast clouds","High",23.2,52.23333333,"Snack","scooter","high","high","overcast clouds","Clear",1,26.6496490125494
"9BCA","CHENRES16DEL02",29,4.8,13.049645,80.242268,13.179645,80.372268,"Drinks ","scooter ",26.4,92,0,"scattered clouds","Very High",27.57,74.05,"Drinks","scooter","very high","very high","scattered clouds","Clear",1,22.3389601620527
"77B6","HYDRES19DEL01",20,4.6,17.458998,78.500366,17.568998,78.610366,"Meal ","motorcycle ",21.26,66,0,"broken clouds","High",23.59,38.16666667,"Meal","motorcycle","high","high","broken clouds","Clear",0,37.0847161539664
"AAD4","MYSRES15DEL03",25,4.8,12.352058,76.60665,12.442058,76.69665,"Snack ","motorcycle ",18.27,82,0,"scattered clouds","Moderate",19.45,35.43333333,"Snack","motorcycle","moderate","moderate","scattered clouds","Clear",0,32.9350893728067
"4223","MUMRES09DEL01",35,4.8,18.994049,72.825203,19.064049,72.895203,"Meal ","scooter ",27.01,44,0,"smoke","Moderate",12.12,35.33333333,"Meal","scooter","moderate","moderate","smoke","Poor Visibility",0,20.5811320774133
"9F0F","BANGRES16DEL03",21,4.8,13.029198,77.570997,13.059198,77.600997,"Snack ","scooter ",19.39,92,0,"mist","Low",7.03,25.43333333,"Snack","scooter","low","low","mist","Rainy",0,16.5845347334973
"40B8","MYSRES18DEL01",37,4.5,12.337928,76.617889,12.447928,76.727889,"Buffet ","motorcycle ",18.12,77,0,"scattered clouds","Moderate",20.68,31.21666667,"Buffet","motorcycle","moderate","moderate","scattered clouds","Clear",0,39.7479978601444
"3AF1","RANCHIRES17DEL01",38,4.6,23.374878,85.335739,23.414878,85.375739,"Buffet ","electric_scooter ",17.72,68,0,"clear sky","Moderate",7.87,25.11666667,"Buffet","electric_scooter","moderate","moderate","clear sky","Clear",0,18.8002654255076
"77F2","JAPRES07DEL02",38,5,26.766536,75.837333,26.896536,75.967333,"Drinks ","motorcycle ",20.12,68,0,"haze","High",37.48,52.95,"Drinks","motorcycle","high","high","haze","Poor Visibility",1,42.4702549575071
"D916","ALHRES14DEL02",23,5,25.459775,81.834841,25.539775,81.914841,"Buffet ","motorcycle ",22,55,0,"clear sky","Moderate",14.5,31.93333333,"Buffet","motorcycle","moderate","moderate","clear sky","Clear",0,27.2442588754952
"7284","PUNERES010DEL01",22,4.5,18.539299,73.897902,18.579299,73.937902,"Drinks ","electric_scooter ",19,64,0,"clear sky","Moderate",10.43,36.01666667,"Drinks","electric_scooter","moderate","moderate","clear sky","Clear",0,17.3752892163466
"7.80E+09","CHENRES20DEL02",26,4.7,12.975996,80.221898,12.995996,80.241898,"Buffet ","motorcycle ",26.35,88,0,"mist","Low",3.99,18.9,"Buffet","motorcycle","low","low","mist","Rainy",0,12.6666666666667
"371A","PUNERES03DEL03",23,4.7,18.554382,73.798206,18.644382,73.888206,"Drinks ","motorcycle ",19.13,65,0,"clear sky","Very High",21.42,58.43333333,"Drinks","motorcycle","very high","very high","clear sky","Clear",1,21.9942954946945
"87D7","RANCHIRES08DEL03",27,4.7,23.353783,85.326967,23.443783,85.416967,"Snack ","motorcycle ",17.83,67,0,"clear sky","Moderate",16.82,30.53333333,"Snack","motorcycle","moderate","moderate","clear sky","Clear",0,33.0524017503332
"68EB","RANCHIRES17DEL01",35,4.7,23.374878,85.335739,23.484878,85.445739,"Drinks ","electric_scooter ",17.51,69,0,"clear sky","High",19.69,40.25,"Drinks","electric_scooter","high","high","clear sky","Clear",1,29.3515527950311
